utc_timestamp,customer_name,customer_vpa,txn_type,amount,status,utr
2024-07-09 09:48,Ajay,ajay@ybl,CREDIT,437.00,SETTLED,8750
2024-07-28 12:11,Priya,priya@apl,CREDIT,1521.00,SETTLED,2423
2024-07-20 09:08,Anita,anita@ibl,CREDIT,1663.00,SETTLED,8843
2024-07-04 19:05,Meena,meena@okhdfcbank,CREDIT,1952.00,SETTLED,5120
2024-07-23 20:04,Pooja,pooja@ibl,CREDIT,1709.00,SETTLED,7803
2024-07-16 11:47,Manish,manish@paytm,CREDIT,485.00,SETTLED,3600
2024-07-02 15:35,Anita,anita@ibl,CREDIT,374.00,SETTLED,4040
2024-07-05 20:01,Kavita,kavita@okaxis,CREDIT,523.00,SETTLED,6911
2024-07-20 13:35,Manish,manish@apl,CREDIT,2387.00,SETTLED,2448
2024-07-06 17:25,Ravi,ravi@okicici,CREDIT,2406.00,SETTLED,2964
2024-07-28 18:28,Raj,raj@oksbi,CREDIT,2024.00,SETTLED,6971
2024-07-06 10:23,Geeta,geeta@ybl,CREDIT,1597.00,SETTLED,2583
2024-07-02 09:21,Vikram,vikram@ibl,CREDIT,355.00,SETTLED,1514
2024-07-03 16:56,Meena,meena@ybl,CREDIT,1722.00,SETTLED,1798
2024-07-10 14:13,Ajay,ajay@ibl,CREDIT,1163.00,SETTLED,6391
2024-07-13 16:43,Kavita,kavita@apl,CREDIT,1406.00,SETTLED,7902
2024-07-28 19:58,Seema,seema@okhdfcbank,CREDIT,956.00,SETTLED,1097
2024-07-27 19:25,Ramesh,ramesh@apl,CREDIT,367.00,SETTLED,7567
2024-07-01 17:01,Savita,savita@okicici,CREDIT,2804.00,SETTLED,5656
2024-07-10 18:49,Manish,manish@paytm,CREDIT,810.00,SETTLED,1725
2024-07-14 12:19,Seema,seema@paytm,CREDIT,1674.00,SETTLED,6369
2024-07-21 20:15,Arun,arun@oksbi,CREDIT,504.00,SETTLED,1532
2024-07-04 20:33,Sunita,sunita@ibl,CREDIT,1307.00,SETTLED,5581
2024-07-18 20:00,Suresh,suresh@apl,CREDIT,688.00,SETTLED,9767
2024-07-06 11:55,Seema,seema@oksbi,CREDIT,3189.00,SETTLED,4238
2024-07-21 11:23,Geeta,geeta@ybl,CREDIT,1312.00,SETTLED,9216
2024-07-07 15:05,Anita,anita@ybl,CREDIT,976.00,SETTLED,1618
2024-07-17 20:41,Savita,savita@paytm,CREDIT,1195.00,SETTLED,3281
2024-07-06 20:51,Neha,neha@ibl,CREDIT,1660.00,SETTLED,9417
2024-07-17 12:39,Suresh,suresh@ibl,CREDIT,2155.00,SETTLED,3341
2024-07-04 12:32,Kavita,kavita@ibl,CREDIT,3040.00,SETTLED,1971
2024-07-08 14:57,Deepak,deepak@okhdfcbank,CREDIT,973.00,SETTLED,4666
2024-07-12 16:26,Vikram,vikram@oksbi,CREDIT,2430.00,SETTLED,9440
2024-07-24 17:42,Pooja,pooja@ybl,CREDIT,160.00,SETTLED,2673
2024-07-08 13:12,Savita,savita@apl,CREDIT,2416.00,SETTLED,2625
2024-07-13 14:24,Ravi,ravi@okhdfcbank,CREDIT,876.00,SETTLED,9047
2024-07-01 14:42,Raj,raj@apl,CREDIT,1512.00,SETTLED,1086
